,Aayu Malun Khola Hydro-Electric Project,Apsuwa I HEP,Chujung Khola HEP,Dudhkoshi 10 HEP,Dudhkoshi-6 HEP,Ghunsa Khola HPP,Ghunsa-Tamor HPP,Hongu Khola HPP,Ikhuwa Khola HEP,Isuwa Khola Hydropower Project,Kabeli B - 1,Kabeli-3 HEP,Kabeli-A,Kasuwa Khola HPP,Lower Hewa,Lower Isuwa Khola HPP,Lower Solu Hydropower Project,Luja Khola HPP,Mewa khola HPP,Mewa Khola Hydropower project,Middle Hongu Khola B HPP,Middle Hongukhola A Hydropower Project,Middle Mewa HPP,Middle Tamor,Palun khola small Hydropower Project,Simbuwa Khola Hydroelectric Project,Solu Hydropower Project,Solu Khola (Dudha Koshi),Super Inkhu Khola,Tamor Khola-5 HEP,Upper Apsuwa HEP,Upper Barunkhola HEP,Upper Inkhu Khola HEP,Upper Isuwa,Upper Kabeli HPP,Upper Mewa Khola -A HPP,Upper Sankhuwa Khola HEP,Upper Simbuwa Khola HPP,Upper Tamor A HPP,Upper Tamor HEP,solar_site_0,solar_site_1,solar_site_2,solar_site_3,solar_site_4,solar_site_5,solar_site_6,solar_site_7,solar_site_8,solar_site_9,solar_site_10,solar_site_11,solar_site_12,solar_site_13,solar_site_14,solar_site_15,solar_site_16,solar_site_17,solar_site_18,solar_site_19
2019-12-16 20:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 21:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 22:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-16 23:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9737440994415304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 00:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 01:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 02:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 03:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 04:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 05:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17 06:00:00,1.0,1.0,0.8623861366902678,1.0,1.0,0.9418288953857928,0.9418288953857928,1.0,0.9332561215179588,1.0,0.9957572321039588,0.7664508221102246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.950711097790713,0.9759351998487984,0.9662305869097406,0.9418106043673012,1.0,1.0,1.0,0.8806142778059514,1.0,0.9943163784126898,1.0,1.0,0.7748087788887786,0.950711097790713,1.0,0.8407860877782112,0.9759351998487984,1.0,0.0,0.0010266940451745,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0010266940451745,0.0010288065843621,0.0010288065843621,0.0010298661174047,0.0,0.0,0.0,0.0010224948875255,0.0,0.0,0.0,0.0,0.0,0.0
